product_handle,reviewer_name,reviewer_email,rating,title,body,review_date,picture_urls,verified,source
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60097232274054465@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Muy bien, llegó rápido y está en excelentes condiciones. Ahora me siento seguro de que ya no tendré que lidiar con Drfit bajo mi control jajaja Lo recomiendo, lo recomiendo encarecidamente, y viene con un Game Pass Ultimate de regalo.",28 MAY 2026,https://ae-pic-a1.aliexpress-media.com/kf/A4a2a380121144fbb870f17f3a0db3c4fs.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · UY,aliexpress.60096749043014302@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Llegó muy rápido, funciona y se ve muy bien. Aunque soy un hombre, este de color morado es muy bonito, así que lo compré. Ahora que está aquí, el próximo que compraré será el azul.",25 ABR 2026,https://ae-pic-a1.aliexpress-media.com/kf/Aefcb82e72ce640bf83eecb44e13dd831f.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,B***r,aliexpress.60097178516425589@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"El controlador está muy bien construido y tiene un diseño atractivo. El cable mide aproximadamente 3 metros de largo, es bastante largo y está hecho de un material de calidad.",10 JUN 2026,https://ae-pic-a1.aliexpress-media.com/kf/Ae1b167c99293465e8a010d1b3cea1f4b2.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A9dbe370ed7f24f36978113386b6ff2ffw.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60096618942571782@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Al principio dudaba en comprar aquí, pero resultó ser una experiencia excelente, llegó muy rápido, antes del plazo establecido y con todo en perfecto estado.",05 MAY 2026,https://ae-pic-a1.aliexpress-media.com/kf/A946d8a7ce68449ccad04baaf075b78565.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60097013570764435@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Muy contento con mi compra, el controlador es realmente original y llegó en 1 semana. Puedes comprar sin miedo... muchas gracias, Game Sir.",19 MAY 2026,https://ae-pic-a1.aliexpress-media.com/kf/Ab7e3e08d413b49b6aac7405760dadfc8m.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60097112348828311@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"El controlador es excelente, este controlador es mil veces mejor que el controlador original de Xbox, mil veces mejor.",25 MAY 2026,https://ae-pic-a1.aliexpress-media.com/kf/A1088d5b7a75242b9964a716396ced219h.jpg;https://ae-pic-a1.aliexpress-media.com/kf/Ad1441eb2112749369db82ebf1aefcc0du.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Estados Unidos,aliexpress.60095368274848848@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Llegó en excelentes condiciones, tal como se anunciaba. Controlador auténtico y de alta calidad.",06 FEB 2026,https://ae-pic-a1.aliexpress-media.com/kf/A619cd950bdc74323afa868cc5ee05cb8V.jpg;https://ae-pic-a1.aliexpress-media.com/kf/Ac8edda566ac04653b3eefc906efa5310b.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Polonia,aliexpress.30096911024623499@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Súper controlador, lo recomiendo. Mejor calidad de fabricación que el original de Microsoft.",05 DIC 2025,https://ae-pic-a1.aliexpress-media.com/kf/A6409852114ac491b83847c24c1d89ff9j.jpg;https://ae-pic-a1.aliexpress-media.com/kf/Af10658af1678426f86b4acb764d5b6cah.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A13587bfc2bc445cb9f1a14e2825d0e694.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · UY,aliexpress.60097451678583232@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Controlador ""Otro planeta"". Una versión turboalimentada del controlador original de Xbox.",07 JUN 2026,https://ae-pic-a1.aliexpress-media.com/kf/Ac6b6da362ee440bcad35e3c78ea23758n.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A2f7cdf90f353486488b420fbccf1945cI.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A1028b47677704ff18228cef5062f93b7g.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Z***s,aliexpress.60097147559169144@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"El control es excepcional, pero mi código de GamePass estaba caducado y no pude usarlo.",27 MAY 2026,https://ae-pic-a1.aliexpress-media.com/kf/Ad978ae2065754ad5b89fe0dd686ef110b.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A517e86da7bfc4d41824b983fe86b8c8dk.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A5a899b8cd64f4354bb2e7ea5d6357882C.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60097097305007980@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Aún no he probado el producto, pero por los videos parece ser de buena calidad.",05 JUN 2026,https://ae-pic-a1.aliexpress-media.com/kf/Affd219150597474da10590a6e17ff8f6t.jpg;https://ae-pic-a1.aliexpress-media.com/kf/A8a5daf5a96b64e49ba1a2902c9a76337G.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60097355560146833@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Perfecto, tengo uno en blanco y morado, y ahora también tengo este en azul.",08 JUN 2026,https://ae-pic-a1.aliexpress-media.com/kf/A729329f6a226432ab1a95818b57d34a0O.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60092414998225132@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Excelente producto, todo llegó a tiempo según lo informado. Lo recomiendo.",12 SEP 2025,https://ae-pic-a1.aliexpress-media.com/kf/Acb6fab18dc374199b6a36adab1211f40b.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60092613195525132@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Excelente producto, todo llegó a tiempo según lo informado. Lo recomiendo.",12 SEP 2025,https://ae-pic-a1.aliexpress-media.com/kf/Acb6fab18dc374199b6a36adab1211f40b.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60092617102225132@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Excelente producto, todo llegó a tiempo según lo informado. Lo recomiendo.",12 SEP 2025,https://ae-pic-a1.aliexpress-media.com/kf/Acb6fab18dc374199b6a36adab1211f40b.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60092698897225132@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Excelente producto, todo llegó a tiempo según lo informado. Lo recomiendo.",12 SEP 2025,https://ae-pic-a1.aliexpress-media.com/kf/Acb6fab18dc374199b6a36adab1211f40b.jpg,false,AliExpress
control-gamesir-g7se-cable-joysticks-hall-xbox-pc,Comprador · Brasil,aliexpress.60092676290925132@noreply.mm0afk-rw.myshopify.com,5,GameSir G7 SE,"Excelente producto, todo llegó a tiempo según lo informado. Lo recomiendo.",12 SEP 2025,https://ae-pic-a1.aliexpress-media.com/kf/Acb6fab18dc374199b6a36adab1211f40b.jpg,false,AliExpress
